Reviewer,Paper,Year,Continent,Country,Region,Latitude,Longitude,System,Sentinel Species,Taxonomy,Specific Taxonomy,Revised Taxnomy,Trophic Position,Body Size (kg),Diet Niche Breadth,Ecto vs. Endotherm?,Type of Indicator,Connection? A or B?,Evidence for C?,Ecosystem Component,Ecosystem Category,Environmental Change,Environmental Category,Sentinel Response,Sampling Method,Scale of Change,Description,Why a Good Sentinel?,Vote Counting,Value,Sample Size,,,,,,,,,,,,,,,,,
KAH,Bengtson Nash et al. 2017,2017,Antarctica,Antarctica,Southern Ocean,-27.26,153.34,Marine,SH humpback whales,Mammal,cetacea,Cetacea,Secondary Consumer,30000,Generalist,Endotherm,Elucidating,B,Referenced,prey abundance,Prey,ENSO,Ocean Temp,adiposity index,Morphometrics,Years,average yearly adiposity index was positively correlated with ENSO index ,"first noted consumer in this ecosystem to change physiology in response to fluctuating prey, sensitive to changes in hard to monitor krill abundance",1,0.7,8,,,,,,,,,,,,,,,,,
KAH,Bengtson Nash et al. 2017,2017,Antarctica,Antarctica,Southern Ocean,-27.26,153.34,Marine,SH humpback whales,Mammal,cetacea,Cetacea,Secondary Consumer,30000,Generalist,Endotherm,Elucidating,B,Referenced,prey abundance,Prey,mean monthly chlorophyl a,Ocean Habitat,adiposity index,Morphometrics,Years,average monthly chlorophyl a concentration was positively correlated with average yearly adiposity index,"first noted consumer in this ecosystem to change physiology in response to fluctuating prey, sensitive to changes in hard to monitor krill abundance",1,0.55,8,,,,,,,,,,,,,,,,,
TJCW,Sydeman et al. 2006,2006,North America,USA/Canada,Pacific coast,37.697,-123.001,Marine,Cassin's auklet,Bird,seabird,Seabirds,Secondary Consumer,0.18,Generalist,Endotherm,Elucidating,B,Quantified,prey abundance,Prey,El Nino events,Ocean Temp,breeding success,Reproduction,Years,strong El Nino events are correlated with reduced prey biomass and abandoned reproduction in auklets,"sensitive, early, not apparent at all trophic levels",1,0.44,18,,,,,,,,,,,,,,,,,
TJCW,Sydeman et al. 2017a,2017,North America,USA,Bering sea,56.5743,-169.6021,Marine,Murre,Bird,seabird,Seabirds,Secondary Consumer,0.99,Generalist,Endotherm,Elucidating,B,Referenced,prey abundance,Prey,environmental conditions,Ocean Temp,phenology,Reproduction,Years,Murre phenology is related to annual SST variability (later timing of breeding under warmer conditions),"sensitive, early",1,0.72,20,,,,,,,,,,,,,,,,,
TJCW,Sydeman et al. 2017a,2017,North America,USA,Bering sea,56.5743,-169.6021,Marine,Murre,Bird,seabird,Seabirds,Secondary Consumer,0.99,Generalist,Endotherm,Elucidating,B,Referenced,prey abundance,Prey,environmental conditions,Ocean Temp,breeding success,Reproduction,Years,Murre breeding success is lower under warmer conditions,"sensitive, early",1,-0.55,24,,,,,,,,,,,,,,,,,
TJCW,Sydeman et al. 2017a,2017,North America,USA,Bering sea,56.5743,-169.6021,Marine,Murre,Bird,seabird,Seabirds,Secondary Consumer,0.99,Generalist,Endotherm,Elucidating,A,Referenced,salmon abundance,Co-occurring,environmental conditions,Ocean Temp,breeding success,Reproduction,Years,Murre breeding success is unrelated to pink salmon (a competitor's) abundance,"sensitive, early",0,0.02,24,,,,,,,,,,,,,,,,,
TJCW,Sydeman et al. 2017a,2017,North America,USA,Bering sea,56.5743,-169.6021,Marine,Kittiwake,Bird,seabird,Seabirds,Secondary Consumer,0.4,Generalist,Endotherm,Elucidating,B,Referenced,prey abundance,Prey,environmental conditions,Ocean Temp,phenology,Reproduction,Years,Kittiwake phenology is unrelated to environmental conditions,"sensitive, early",0,-0.2,20,,,,,,,,,,,,,,,,,
TJCW,Sydeman et al. 2017a,2017,North America,USA,Bering sea,56.5743,-169.6021,Marine,Kittiwake,Bird,seabird,Seabirds,Secondary Consumer,0.4,Generalist,Endotherm,Elucidating,B,Referenced,prey abundance,Prey,environmental conditions,Ocean Temp,breeding success,Reproduction,Years,Kittiwake breeding success reflects variation in ice cover and winds,"sensitive, early",1,0.53,24,,,,,,,,,,,,,,,,,
TJCW,Sydeman et al. 2017a,2017,North America,USA,Bering sea,56.5743,-169.6021,Marine,Kittiwake,Bird,seabird,Seabirds,Secondary Consumer,0.4,Generalist,Endotherm,Elucidating,A,Referenced,salmon abundance,Co-occurring,environmental conditions,Ocean Temp,breeding success,Reproduction,Years,"Kittiwake breeding success is negatively related to pink salmon abundance, a competitor","sensitive, early",1,-0.66,24,,,,,,,,,,,,,,,,,
TJCW,Pakkala et al. 2003,2003,Europe,Finland,Southern Finland,61.15,25,Terrestrial,Capercaillie,Bird,grouse,,Omnivore,2.7,Generalist,Endotherm,Elucidating,A,Quantified,forest birds richness,Co-occurring,forest harvest/composition,Terrestrial Habitat,abundance,Population,Spatial,Capercaillie densities were positively related with forest bird biodiversity,"sensitive, as it needs large and continuous forest areas",1,0.21,59,,,,,,,,,,,,,,,,,
TJCW,Angarita-Sierra & Lozano-Daza 2019,2019,South America,Colombia,Colombean plateau,3.31466,-73.32153,Terrestrial,Coffee snake,Reptile,snake,Snakes,Secondary Consumer,0.02,Generalist,Ectotherm,Elucidating,B,Quantified,"prey abundance (snails, worms)",Prey,ENSO,Precipitation,abundance,Population,Years,Coffee snake abundance is negatively correlated with El Nino (dry) events,high sensitivity,1,0.64,425,,,,,,,,,,,,,,,,,
TJCW,Angarita-Sierra & Lozano-Daza 2019,2019,South America,Colombia,Colombean plateau,3.31466,-73.32153,Terrestrial,Coffee snake,Reptile,snake,Snakes,Secondary Consumer,0.02,Generalist,Ectotherm,Elucidating,A,Quantified,snail abundance,Prey,ENSO,Precipitation,abundance,Population,Years,Coffee snake abundance is correlated with snails,high sensitivity,1,0.74,32,,,,,,,,,,,,,,,,,
TJCW,Angarita-Sierra & Lozano-Daza 2019,2019,South America,Colombia,Colombean plateau,3.31466,-73.32153,Terrestrial,Coffee snake,Reptile,snake,Snakes,Secondary Consumer,0.02,Generalist,Ectotherm,Elucidating,A,Quantified,leech abundance,Prey,ENSO,Precipitation,abundance,Population,Years,Coffee snake abundance is correlated with leeches,high sensitivity,1,0.66,32,,,,,,,,,,,,,,,,,
TJCW,Brower et al. 2017,2017,North America,USA,Alaska,71.2953,-161.9954,Marine,Gray whale,Mammal,cetacea,Cetacea,Secondary Consumer,27324,Generalist,Endotherm,Elucidating,A,Referenced,amphipod biomass,Prey,environmental conditions,Ocean Habitat,abundance,Population,Spatial,Gray whales are associated with high benthic amphipod abundance,foraging locations vary far across space,1,0.69,58,,,,,,,,,,,,,,,,,
BA,Browder & Robblee 2009,2009,North America,USA,Florida,25.1419,-80.7584,Freshwater,Pink shrimp,Invertebrate,crustacea,Crustacea,Primary Consumer,0.009,Generalist,Ectotherm,Elucidating,B,Referenced,Unspecified,NA,"freshwater flow, salinity",Terrestrial Habitat,density,Population,Years,Pink shrimp density is correlated with salinity in the Florida Bay estuary and therefore is a biological indicator for restoration efforts to alter freshwater flow in the estuary,"""The pink shrimp is an 
appropriate restoration indicator because of its ecological as well as its economic importance 
and also because scientific interest in pink shrimp in South Florida has produced a
 wealth of information about the species and relatively long time series of data on both 
juveniles in estuarine nursery habitats and adults on the fishing grounds""",1,-0.446,20,,,,,,,,,,,,,,,,,
